hour_of_day,count,mean,std,min,median,max,missing_pct
0,2192,306.23,144.25,26,325.0,637,0.0
1,2192,324.4,152.88,23,319.0,668,0.0
10,2192,324.6,126.42,24,332.0,655,0.0
11,2192,323.81,122.53,26,342.0,637,0.0
12,2192,317.31,126.86,25,325.0,635,0.0
13,2192,313.64,125.07,24,330.0,614,0.0
14,2192,311.44,130.17,24,321.5,623,0.0
15,2192,297.02,124.45,24,305.0,621,0.0
16,2192,278.95,121.92,25,283.0,597,0.0
17,2192,261.88,112.21,21,277.0,577,0.0
18,2192,256.45,110.59,27,270.5,582,0.0
19,2192,287.66,126.18,25,297.0,599,0.0
2,2192,313.47,138.82,27,344.0,643,0.0
20,2192,292.38,130.26,27,301.0,612,0.0
21,2192,286.85,132.98,21,292.0,623,0.0
22,2192,282.39,129.02,25,296.0,637,0.0
23,2192,285.88,131.72,22,306.0,580,0.0
3,2192,311.0,137.89,25,321.5,632,0.0
4,2192,307.58,129.62,24,314.0,617,0.0
5,2192,311.88,127.03,26,316.0,621,0.0
6,2192,328.43,124.17,23,345.0,620,0.0
7,2192,302.04,115.57,23,314.0,643,0.0
8,2192,311.92,113.97,24,330.0,591,0.0
9,2192,331.07,127.11,21,334.0,652,0.0
