slice_value,count,percentage,expected_pct,deviation_pct,is_underrepresented,is_overrepresented
0,4746,4.17,4.17,0.08,False,False
1,4746,4.17,4.17,0.08,False,False
10,4746,4.17,4.17,0.08,False,False
11,4746,4.17,4.17,0.08,False,False
12,4746,4.17,4.17,0.08,False,False
13,4746,4.17,4.17,0.08,False,False
14,4746,4.17,4.17,0.08,False,False
15,4746,4.17,4.17,0.08,False,False
16,4746,4.17,4.17,0.08,False,False
17,4746,4.17,4.17,0.08,False,False
18,4746,4.17,4.17,0.08,False,False
19,4746,4.17,4.17,0.08,False,False
2,4746,4.17,4.17,0.08,False,False
20,4746,4.17,4.17,0.08,False,False
21,4746,4.17,4.17,0.08,False,False
22,4746,4.17,4.17,0.08,False,False
23,4746,4.17,4.17,0.08,False,False
3,4746,4.17,4.17,0.08,False,False
4,4746,4.17,4.17,0.08,False,False
5,4746,4.17,4.17,0.08,False,False
6,4746,4.17,4.17,0.08,False,False
7,4746,4.17,4.17,0.08,False,False
8,4746,4.17,4.17,0.08,False,False
9,4746,4.17,4.17,0.08,False,False
